Indices,GC,LC
"(0, 0, 0, 0)",3.621281099463542,1.0
"(0, 0, 0, 1)",3.6829212564473983,1.25
"(0, 0, 0, 2)",3.317767828627258,1.5
"(0, 0, 0, 3)",4.105359011173312,1.75
"(0, 0, 0, 4)",3.5961704301105812,2.0
"(0, 0, 0, 5)",3.2582740265919368,2.25
"(0, 0, 0, 6)",3.555136971443425,2.5
"(0, 0, 0, 7)",3.389763075395306,2.75
"(0, 0, 0, 8)",3.208314993051351,3.0
"(0, 0, 0, 9)",3.5470272742745124,3.25
"(0, 0, 0, 10)",3.4577672309344183,3.5
"(0, 0, 0, 11)",3.6116169717460753,3.75
"(0, 0, 0, 12)",2.9537138613808183,4.0
"(0, 0, 0, 13)",4.1978231903198555,4.25
"(0, 0, 0, 14)",3.470192114510533,4.5
"(0, 0, 0, 15)",2.5577148240958385,4.75
"(0, 0, 1, 0)",4.901206467985668,1.25
"(0, 0, 1, 1)",3.8369067897359797,1.5
"(0, 0, 1, 2)",4.2055028214048,1.75
"(0, 0, 1, 3)",4.637179713989436,2.0
"(0, 0, 1, 4)",4.58166727617834,2.25
"(0, 0, 1, 5)",3.6894749796929913,2.5
"(0, 0, 1, 6)",4.221703929361052,2.75
"(0, 0, 1, 7)",3.992783383834677,3.0
"(0, 0, 1, 8)",4.158050670129736,3.25
"(0, 0, 1, 9)",4.290338501542709,3.5
"(0, 0, 1, 10)",4.084730047986253,3.75
"(0, 0, 1, 11)",4.334288572454651,4.0
"(0, 0, 1, 12)",3.8511044294063295,4.25
"(0, 0, 1, 13)",4.034974984029791,4.5
"(0, 0, 1, 14)",3.858753584738643,4.75
"(0, 0, 1, 15)",3.5395400591929116,5.0
"(0, 0, 2, 0)",4.039840803420351,1.5
"(0, 0, 2, 1)",4.049642154289608,1.75
"(0, 0, 2, 2)",3.7233707713791087,2.0
"(0, 0, 2, 3)",4.7058041333977965,2.25
"(0, 0, 2, 4)",3.9509065514390413,2.5
"(0, 0, 2, 5)",4.195024170061378,2.75
"(0, 0, 2, 6)",3.964249059170713,3.0
"(0, 0, 2, 7)",3.7810784568191993,3.25
"(0, 0, 2, 8)",4.156033924255249,3.5
"(0, 0, 2, 9)",4.096874024855332,3.75
"(0, 0, 2, 10)",4.646113174842989,4.0
"(0, 0, 2, 11)",3.836615326851655,4.25
"(0, 0, 2, 12)",3.39675742506793,4.5
