Start_Indices,Final_Indices,Final_GC,Final_LC,Hit_Global_Optimum
"(0, 0, 0, 0)","(2, 0, 0, 1)",0.8125,1.75,True
"(0, 0, 0, 1)","(2, 0, 0, 1)",0.8125,1.75,True
"(0, 0, 1, 0)","(2, 0, 0, 1)",0.8125,1.75,True
"(0, 0, 1, 1)","(2, 0, 0, 1)",0.8125,1.75,True
"(0, 0, 2, 0)","(2, 0, 0, 1)",0.8125,1.75,True
"(0, 0, 2, 1)","(2, 0, 0, 1)",0.8125,1.75,True
"(0, 1, 0, 0)","(2, 1, 0, 1)",0.8125,2.0,True
"(0, 1, 0, 1)","(2, 1, 0, 1)",0.8125,2.0,True
"(0, 1, 1, 0)","(2, 1, 0, 1)",0.8125,2.0,True
"(0, 1, 1, 1)","(2, 1, 0, 1)",0.8125,2.0,True
"(0, 1, 2, 0)","(2, 1, 0, 1)",0.8125,2.0,True
"(0, 1, 2, 1)","(2, 1, 0, 1)",0.8125,2.0,True
"(1, 0, 0, 0)","(2, 0, 0, 1)",0.8125,1.75,True
"(1, 0, 0, 1)","(2, 0, 0, 1)",0.8125,1.75,True
"(1, 0, 1, 0)","(2, 0, 0, 1)",0.8125,1.75,True
"(1, 0, 1, 1)","(2, 0, 0, 1)",0.8125,1.75,True
"(1, 0, 2, 0)","(2, 0, 0, 1)",0.8125,1.75,True
"(1, 0, 2, 1)","(2, 0, 0, 1)",0.8125,1.75,True
"(1, 1, 0, 0)","(2, 1, 0, 1)",0.8125,2.0,True
"(1, 1, 0, 1)","(2, 1, 0, 1)",0.8125,2.0,True
"(1, 1, 1, 0)","(2, 1, 0, 1)",0.8125,2.0,True
"(1, 1, 1, 1)","(2, 1, 0, 1)",0.8125,2.0,True
"(1, 1, 2, 0)","(2, 1, 0, 1)",0.8125,2.0,True
"(1, 1, 2, 1)","(2, 1, 0, 1)",0.8125,2.0,True
"(2, 0, 0, 0)","(2, 0, 0, 1)",0.8125,1.75,True
"(2, 0, 0, 1)","(2, 0, 0, 1)",0.8125,1.75,True
"(2, 0, 1, 0)","(2, 0, 0, 1)",0.8125,1.75,True
"(2, 0, 1, 1)","(2, 0, 0, 1)",0.8125,1.75,True
"(2, 0, 2, 0)","(2, 0, 0, 1)",0.8125,1.75,True
"(2, 0, 2, 1)","(2, 0, 0, 1)",0.8125,1.75,True
"(2, 1, 0, 0)","(2, 1, 0, 1)",0.8125,2.0,True
"(2, 1, 0, 1)","(2, 1, 0, 1)",0.8125,2.0,True
"(2, 1, 1, 0)","(2, 1, 0, 1)",0.8125,2.0,True
"(2, 1, 1, 1)","(2, 1, 0, 1)",0.8125,2.0,True
"(2, 1, 2, 0)","(2, 1, 0, 1)",0.8125,2.0,True
"(2, 1, 2, 1)","(2, 1, 0, 1)",0.8125,2.0,True
