Start_Indices,Final_Indices,Final_GC,Final_LC,Hit_Global_Optimum
"(0, 0, 0, 0, 0, 0, 0)","(1, 2, 0, 0, 0, 1, 1)",5.070508,1.7143,False
"(0, 0, 0, 0, 0, 0, 1)","(1, 2, 0, 0, 0, 1, 1)",5.070508,1.7143,False
"(0, 0, 0, 0, 0, 0, 2)","(1, 1, 0, 2, 0, 0, 2)",5.162941,1.8571,False
"(0, 0, 0, 0, 0, 1, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 0, 1, 1)","(1, 2, 0, 0, 0, 1, 1)",5.070508,1.7143,False
"(0, 0, 0, 0, 0, 1, 2)","(1, 1, 0, 2, 1, 1, 2)",5.049003,2.1429,False
"(0, 0, 0, 0, 0, 2, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 0, 2, 1)","(1, 1, 0, 2, 1, 1, 2)",5.049003,2.1429,False
"(0, 0, 0, 0, 0, 2, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 1, 0, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 1, 0, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 1, 0, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 1, 1, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 1, 1, 1)","(1, 1, 0, 2, 1, 1, 2)",5.049003,2.1429,False
"(0, 0, 0, 0, 1, 1, 2)","(1, 1, 0, 2, 1, 1, 2)",5.049003,2.1429,False
"(0, 0, 0, 0, 1, 2, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 1, 2, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 1, 2, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 2, 0, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 2, 0, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 2, 0, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 2, 1, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 2, 1, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 2, 1, 2)","(1, 2, 0, 1, 0, 1, 2)",5.182982,2.0,False
"(0, 0, 0, 0, 2, 2, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 2, 2, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 0, 2, 2, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 0, 0, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 0, 0, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 0, 0, 2)","(1, 0, 0, 1, 0, 0, 2)",5.344004,1.5714,False
"(0, 0, 0, 1, 0, 1, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 0, 1, 1)","(1, 2, 0, 0, 0, 1, 1)",5.070508,1.7143,False
"(0, 0, 0, 1, 0, 1, 2)","(1, 2, 0, 1, 0, 1, 2)",5.182982,2.0,False
"(0, 0, 0, 1, 0, 2, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 0, 2, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 0, 2, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 1, 0, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 1, 0, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 1, 0, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 1, 1, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 1, 1, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 1, 1, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 1, 2, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 1, 2, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 1, 2, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 2, 0, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 2, 0, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 2, 0, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 2, 1, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 2, 1, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 2, 1, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 2, 2, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 2, 2, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 1, 2, 2, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 0, 0, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 0, 0, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 0, 0, 2)","(1, 1, 0, 2, 0, 0, 2)",5.162941,1.8571,False
"(0, 0, 0, 2, 0, 1, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 0, 1, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 0, 1, 2)","(1, 1, 0, 2, 1, 1, 2)",5.049003,2.1429,False
"(0, 0, 0, 2, 0, 2, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 0, 2, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 0, 2, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 1, 0, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 1, 0, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 1, 0, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 1, 1, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 1, 1, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 1, 1, 2)","(1, 1, 0, 2, 1, 1, 2)",5.049003,2.1429,False
"(0, 0, 0, 2, 1, 2, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 1, 2, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 1, 2, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 2, 0, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 2, 0, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 2, 0, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 2, 1, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 2, 1, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 2, 1, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 2, 2, 0)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 2, 2, 1)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 0, 2, 2, 2, 2)","(1, 0, 2, 1, 1, 2, 1)",3.787604,2.1429,True
"(0, 0, 1, 0, 0, 0, 0)","(1, 2, 0, 0, 0, 1, 1)",5.070508,1.7143,False
"(0, 0, 1, 0, 0, 0, 1)","(1, 2, 0, 0, 0, 1, 1)",5.070508,1.7143,False
"(0, 0, 1, 0, 0, 0, 2)","(1, 1, 0, 2, 0, 0, 2)",5.162941,1.8571,False
"(0, 0, 1, 0, 0, 1, 0)","(1, 2, 0, 0, 0, 1, 1)",5.070508,1.7143,False
