Indices,GC,LC
"(0, 0, 0, 0, 0, 0, 0)",7.835948250118423,1.0
"(0, 0, 0, 0, 0, 0, 1)",7.238460696367441,1.1428571428571428
"(0, 0, 0, 0, 0, 0, 2)",7.4842029127297955,1.2857142857142858
"(0, 0, 0, 0, 0, 1, 0)",8.101723209622735,1.1428571428571428
"(0, 0, 0, 0, 0, 1, 1)",7.4302989738745975,1.2857142857142858
"(0, 0, 0, 0, 0, 1, 2)",7.616365997173144,1.4285714285714286
"(0, 0, 0, 0, 0, 2, 0)",9.305678550205513,1.2857142857142858
"(0, 0, 0, 0, 0, 2, 1)",7.943659569791755,1.4285714285714286
"(0, 0, 0, 0, 0, 2, 2)",8.13919247033019,1.5714285714285714
"(0, 0, 0, 0, 1, 0, 0)",7.678811934748844,1.1428571428571428
"(0, 0, 0, 0, 1, 0, 1)",7.379177798903442,1.2857142857142858
"(0, 0, 0, 0, 1, 0, 2)",7.603304674101277,1.4285714285714286
"(0, 0, 0, 0, 1, 1, 0)",7.659436853614835,1.2857142857142858
"(0, 0, 0, 0, 1, 1, 1)",7.285866035772281,1.4285714285714286
"(0, 0, 0, 0, 1, 1, 2)",7.450317717906304,1.5714285714285714
"(0, 0, 0, 0, 1, 2, 0)",7.947494369433068,1.4285714285714286
"(0, 0, 0, 0, 1, 2, 1)",6.88332880692489,1.5714285714285714
"(0, 0, 0, 0, 1, 2, 2)",7.057246366298806,1.7142857142857142
"(0, 0, 0, 0, 2, 0, 0)",7.933781085580105,1.2857142857142858
"(0, 0, 0, 0, 2, 0, 1)",7.9801457384653744,1.4285714285714286
"(0, 0, 0, 0, 2, 0, 2)",7.965993383371359,1.5714285714285714
"(0, 0, 0, 0, 2, 1, 0)",7.651648735150479,1.4285714285714286
"(0, 0, 0, 0, 2, 1, 1)",7.624076706038592,1.5714285714285714
"(0, 0, 0, 0, 2, 1, 2)",7.550249157880765,1.7142857142857142
"(0, 0, 0, 0, 2, 2, 0)",8.197164863150967,1.5714285714285714
"(0, 0, 0, 0, 2, 2, 1)",7.47899808937346,1.7142857142857142
"(0, 0, 0, 0, 2, 2, 2)",7.414636418455527,1.8571428571428572
"(0, 0, 0, 1, 0, 0, 0)",7.341932322530762,1.1428571428571428
"(0, 0, 0, 1, 0, 0, 1)",6.872487582266886,1.2857142857142858
"(0, 0, 0, 1, 0, 0, 2)",6.54261847812557,1.4285714285714286
"(0, 0, 0, 1, 0, 1, 0)",7.565115191205552,1.2857142857142858
"(0, 0, 0, 1, 0, 1, 1)",7.021733768944517,1.4285714285714286
"(0, 0, 0, 1, 0, 1, 2)",6.632189471739395,1.5714285714285714
"(0, 0, 0, 1, 0, 2, 0)",8.646275671733003,1.4285714285714286
"(0, 0, 0, 1, 0, 2, 1)",7.412299504806348,1.5714285714285714
"(0, 0, 0, 1, 0, 2, 2)",7.032221084841115,1.7142857142857142
"(0, 0, 0, 1, 1, 0, 0)",7.1760359523487605,1.2857142857142858
"(0, 0, 0, 1, 1, 0, 1)",7.004444629990462,1.4285714285714286
"(0, 0, 0, 1, 1, 0, 2)",6.652960184684628,1.5714285714285714
"(0, 0, 0, 1, 1, 1, 0)",7.114068780385228,1.4285714285714286
"(0, 0, 0, 1, 1, 1, 1)",6.868540776029774,1.5714285714285714
"(0, 0, 0, 1, 1, 1, 2)",6.457381137660127,1.7142857142857142
"(0, 0, 0, 1, 1, 2, 0)",7.279331436148133,1.5714285714285714
"(0, 0, 0, 1, 1, 2, 1)",6.343208687127059,1.7142857142857142
"(0, 0, 0, 1, 1, 2, 2)",5.941514925997304,1.8571428571428572
"(0, 0, 0, 1, 2, 0, 0)",7.6219929031535125,1.4285714285714286
"(0, 0, 0, 1, 2, 0, 1)",7.796400369525885,1.5714285714285714
"(0, 0, 0, 1, 2, 0, 2)",7.2066366939282025,1.7142857142857142
"(0, 0, 0, 1, 2, 1, 0)",7.297268461894363,1.5714285714285714
"(0, 0, 0, 1, 2, 1, 1)",7.397739246269578,1.7142857142857142
"(0, 0, 0, 1, 2, 1, 2)",6.7483003776080865,1.8571428571428572
"(0, 0, 0, 1, 2, 2, 0)",7.719989729839523,1.7142857142857142
"(0, 0, 0, 1, 2, 2, 1)",7.129865769549116,1.8571428571428572
"(0, 0, 0, 1, 2, 2, 2)",6.489892778127517,2.0
"(0, 0, 0, 2, 0, 0, 0)",7.98318714477624,1.2857142857142858
"(0, 0, 0, 2, 0, 0, 1)",7.298427904716877,1.4285714285714286
"(0, 0, 0, 2, 0, 0, 2)",6.987885391734368,1.5714285714285714
"(0, 0, 0, 2, 0, 1, 0)",8.526027585960287,1.4285714285714286
"(0, 0, 0, 2, 0, 1, 1)",7.767331663903768,1.5714285714285714
"(0, 0, 0, 2, 0, 1, 2)",7.397113957857448,1.7142857142857142
"(0, 0, 0, 2, 0, 2, 0)",9.861165586762867,1.5714285714285714
"(0, 0, 0, 2, 0, 2, 1)",8.411874920040724,1.7142857142857142
"(0, 0, 0, 2, 0, 2, 2)",8.051123091234297,1.8571428571428572
"(0, 0, 0, 2, 1, 0, 0)",7.253737659126858,1.4285714285714286
"(0, 0, 0, 2, 1, 0, 1)",6.866831836973076,1.5714285714285714
"(0, 0, 0, 2, 1, 0, 2)",6.534673982826046,1.7142857142857142
"(0, 0, 0, 2, 1, 1, 0)",7.511428059672585,1.5714285714285714
"(0, 0, 0, 2, 1, 1, 1)",7.050585555521646,1.7142857142857142
"(0, 0, 0, 2, 1, 1, 2)",6.658752508310805,1.8571428571428572
"(0, 0, 0, 2, 1, 2, 0)",7.930668235710618,1.7142857142857142
"(0, 0, 0, 2, 1, 2, 1)",6.779230986894058,1.8571428571428572
"(0, 0, 0, 2, 1, 2, 2)",6.3968638169231085,2.0
"(0, 0, 0, 2, 2, 0, 0)",8.056418287870395,1.5714285714285714
"(0, 0, 0, 2, 2, 0, 1)",8.015511254447283,1.7142857142857142
"(0, 0, 0, 2, 2, 0, 2)",7.445074170008402,1.8571428571428572
"(0, 0, 0, 2, 2, 1, 0)",8.051351419120502,1.7142857142857142
"(0, 0, 0, 2, 2, 1, 1)",7.93650770370023,1.8571428571428572
"(0, 0, 0, 2, 2, 1, 2)",7.3063954261975415,2.0
"(0, 0, 0, 2, 2, 2, 0)",8.72805020734079,1.8571428571428572
"(0, 0, 0, 2, 2, 2, 1)",7.9226117472549005,2.0
"(0, 0, 0, 2, 2, 2, 2)",7.301965346992107,2.142857142857143
"(0, 0, 1, 0, 0, 0, 0)",7.835161744689231,1.1428571428571428
"(0, 0, 1, 0, 0, 0, 1)",7.511131926002584,1.2857142857142858
"(0, 0, 1, 0, 0, 0, 2)",7.983182062682444,1.4285714285714286
"(0, 0, 1, 0, 0, 1, 0)",8.377483229203081,1.2857142857142858
"(0, 0, 1, 0, 0, 1, 1)",7.979516728519275,1.4285714285714286
"(0, 0, 1, 0, 0, 1, 2)",8.391891672135328,1.5714285714285714
"(0, 0, 1, 0, 0, 2, 0)",9.09181149361373,1.4285714285714286
"(0, 0, 1, 0, 0, 2, 1)",8.003250248264301,1.5714285714285714
"(0, 0, 1, 0, 0, 2, 2)",8.425091069120246,1.7142857142857142
"(0, 0, 1, 0, 1, 0, 0)",7.063502624622663,1.2857142857142858
"(0, 0, 1, 0, 1, 0, 1)",7.037326223841596,1.4285714285714286
"(0, 0, 1, 0, 1, 0, 2)",7.4877610193569355,1.5714285714285714
