Indices,GC,LC
"(0, 0, 0, 0, 0, 0, 0, 0)",8.217389333837156,1.0
"(0, 0, 0, 0, 0, 0, 0, 1)",9.550708195467134,1.125
"(0, 0, 0, 0, 0, 0, 0, 2)",9.450022128122288,1.25
"(0, 0, 0, 0, 0, 0, 0, 3)",9.715001998850513,1.375
"(0, 0, 0, 0, 0, 0, 1, 0)",7.005667133528388,1.125
"(0, 0, 0, 0, 0, 0, 1, 1)",8.535474851303864,1.25
"(0, 0, 0, 0, 0, 0, 1, 2)",8.126660352669123,1.375
"(0, 0, 0, 0, 0, 0, 1, 3)",8.119858606944096,1.5
"(0, 0, 0, 0, 0, 0, 2, 0)",8.269796084815692,1.25
"(0, 0, 0, 0, 0, 0, 2, 1)",9.39613602583221,1.375
"(0, 0, 0, 0, 0, 0, 2, 2)",8.668325130329405,1.5
"(0, 0, 0, 0, 0, 0, 2, 3)",8.984719766776509,1.625
"(0, 0, 0, 0, 0, 0, 3, 0)",7.370842520247364,1.375
"(0, 0, 0, 0, 0, 0, 3, 1)",8.824002314084225,1.5
"(0, 0, 0, 0, 0, 0, 3, 2)",8.187375864533232,1.625
"(0, 0, 0, 0, 0, 0, 3, 3)",8.468504576239626,1.75
"(0, 0, 0, 0, 0, 1, 0, 0)",8.750631099877742,1.125
"(0, 0, 0, 0, 0, 1, 0, 1)",9.641871753946237,1.25
"(0, 0, 0, 0, 0, 1, 0, 2)",9.372009321149074,1.375
"(0, 0, 0, 0, 0, 1, 0, 3)",9.247893179255838,1.5
"(0, 0, 0, 0, 0, 1, 1, 0)",7.589491249999388,1.25
"(0, 0, 0, 0, 0, 1, 1, 1)",8.67722076021338,1.375
"(0, 0, 0, 0, 0, 1, 1, 2)",8.099229896126324,1.5
"(0, 0, 0, 0, 0, 1, 1, 3)",7.703332137779837,1.625
"(0, 0, 0, 0, 0, 1, 2, 0)",8.629649176354707,1.375
"(0, 0, 0, 0, 0, 1, 2, 1)",9.313910909809742,1.5
"(0, 0, 0, 0, 0, 1, 2, 2)",8.41692364885462,1.625
"(0, 0, 0, 0, 0, 1, 2, 3)",8.344222272680263,1.75
"(0, 0, 0, 0, 0, 1, 3, 0)",8.35238069705876,1.5
"(0, 0, 0, 0, 0, 1, 3, 1)",9.363462283334135,1.625
