Iteration,Mean,Stdev,Run-0
0,1.7196426254425709E-15,0.0,1.7196426254425709E-15
1,1.7196426254425709E-15,0.0,1.7196426254425709E-15
2,1.7196426254425709E-15,0.0,1.7196426254425709E-15
3,1.7196426254425709E-15,0.0,1.7196426254425709E-15
4,1.7196426254425709E-15,0.0,1.7196426254425709E-15
5,1.7196426254425709E-15,0.0,1.7196426254425709E-15
6,1.7196426254425709E-15,0.0,1.7196426254425709E-15
7,1.7196426254425709E-15,0.0,1.7196426254425709E-15
8,1.7196426254425709E-15,0.0,1.7196426254425709E-15
9,1.7196426254425709E-15,0.0,1.7196426254425709E-15
10,1.7196426254425709E-15,0.0,1.7196426254425709E-15
11,1.7196426254425709E-15,0.0,1.7196426254425709E-15
12,1.7196426254425709E-15,0.0,1.7196426254425709E-15
13,1.7196426254425709E-15,0.0,1.7196426254425709E-15
14,1.7196426254425709E-15,0.0,1.7196426254425709E-15
15,1.7196426254425709E-15,0.0,1.7196426254425709E-15
16,1.7196426254425709E-15,0.0,1.7196426254425709E-15
17,1.7196426254425709E-15,0.0,1.7196426254425709E-15
18,1.7196426254425709E-15,0.0,1.7196426254425709E-15
19,1.7196426254425709E-15,0.0,1.7196426254425709E-15
20,1.7196426254425709E-15,0.0,1.7196426254425709E-15
21,1.7196426254425709E-15,0.0,1.7196426254425709E-15
22,1.7196426254425709E-15,0.0,1.7196426254425709E-15
23,1.7196426254425709E-15,0.0,1.7196426254425709E-15
24,1.7196426254425709E-15,0.0,1.7196426254425709E-15
25,1.7196426254425709E-15,0.0,1.7196426254425709E-15
26,1.7196426254425709E-15,0.0,1.7196426254425709E-15
27,1.7196426254425709E-15,0.0,1.7196426254425709E-15
28,1.7196426254425709E-15,0.0,1.7196426254425709E-15
29,1.7196426254425709E-15,0.0,1.7196426254425709E-15
30,1.7196426254425709E-15,0.0,1.7196426254425709E-15
31,1.7196426254425709E-15,0.0,1.7196426254425709E-15
32,1.7196426254425709E-15,0.0,1.7196426254425709E-15
33,1.7196426254425709E-15,0.0,1.7196426254425709E-15
34,1.7196426254425709E-15,0.0,1.7196426254425709E-15
35,1.7196426254425709E-15,0.0,1.7196426254425709E-15
36,1.7196426254425709E-15,0.0,1.7196426254425709E-15
37,1.7196426254425709E-15,0.0,1.7196426254425709E-15
38,1.7196426254425709E-15,0.0,1.7196426254425709E-15
39,1.7196426254425709E-15,0.0,1.7196426254425709E-15
