Iteration,Mean,Stdev,Run-0
0,1.95,0.0,1.95
1,1.475,0.0,1.475
2,1.4,0.0,1.4
3,1.475,0.0,1.475
4,1.575,0.0,1.575
5,1.55,0.0,1.55
6,1.55,0.0,1.55
7,1.55,0.0,1.55
8,1.55,0.0,1.55
9,1.55,0.0,1.55
10,1.55,0.0,1.55
11,1.55,0.0,1.55
12,1.55,0.0,1.55
13,1.55,0.0,1.55
14,1.55,0.0,1.55
15,1.55,0.0,1.55
16,1.55,0.0,1.55
17,1.55,0.0,1.55
18,1.55,0.0,1.55
19,1.55,0.0,1.55
20,1.55,0.0,1.55
21,1.55,0.0,1.55
22,1.55,0.0,1.55
23,1.55,0.0,1.55
24,1.55,0.0,1.55
25,1.55,0.0,1.55
26,1.55,0.0,1.55
27,1.55,0.0,1.55
28,1.55,0.0,1.55
29,1.55,0.0,1.55
30,1.55,0.0,1.55
31,1.55,0.0,1.55
32,1.55,0.0,1.55
33,1.55,0.0,1.55
34,1.55,0.0,1.55
35,1.55,0.0,1.55
36,1.55,0.0,1.55
37,1.55,0.0,1.55
38,1.55,0.0,1.55
39,1.55,0.0,1.55
