Agent,Plan,LocalCost,ComplexCost
0,0,0.0000,12.4503
1,0,0.0000,12.4503
2,0,0.0000,12.4503
3,0,0.0000,12.4503
4,3,3.0000,12.4503
5,0,0.0000,12.4503
6,0,0.0000,12.4503
7,1,1.0000,12.4503
8,0,0.0000,12.4503
9,2,2.0000,12.3175
10,4,4.0000,12.4503
11,0,0.0000,12.4503
12,3,3.0000,12.4503
13,0,0.0000,12.4503
14,4,4.0000,12.4503
15,1,1.0000,11.2411
16,2,2.0000,12.4503
17,0,0.0000,12.4503
18,3,3.0000,12.4503
19,3,3.0000,12.4503
20,1,1.0000,12.4503
21,3,3.0000,12.4503
22,0,0.0000,12.4503
23,0,0.0000,12.4503
24,0,0.0000,12.4503
25,3,3.0000,12.4503
26,1,1.0000,12.4001
27,0,0.0000,12.4503
28,1,1.0000,12.4503
29,2,2.0000,11.5125
30,4,4.0000,12.3175
31,1,1.0000,12.4503
32,1,1.0000,11.2411
33,2,2.0000,12.4503
34,0,0.0000,12.4503
35,1,1.0000,12.4001
36,3,3.0000,11.5125
37,1,1.0000,10.7652
38,1,1.0000,11.9794
39,4,4.0000,9.8314
