Iteration,Mean,Stdev,Run-0
0,2.1322570528360545E-15,0.0,2.1322570528360545E-15
1,2.1322570528360545E-15,0.0,2.1322570528360545E-15
2,2.1322570528360545E-15,0.0,2.1322570528360545E-15
3,2.1322570528360545E-15,0.0,2.1322570528360545E-15
4,2.1322570528360545E-15,0.0,2.1322570528360545E-15
5,2.1322570528360545E-15,0.0,2.1322570528360545E-15
6,2.1322570528360545E-15,0.0,2.1322570528360545E-15
7,2.1322570528360545E-15,0.0,2.1322570528360545E-15
8,2.1322570528360545E-15,0.0,2.1322570528360545E-15
9,2.1322570528360545E-15,0.0,2.1322570528360545E-15
10,2.1322570528360545E-15,0.0,2.1322570528360545E-15
11,2.1322570528360545E-15,0.0,2.1322570528360545E-15
12,2.1322570528360545E-15,0.0,2.1322570528360545E-15
13,2.1322570528360545E-15,0.0,2.1322570528360545E-15
14,2.1322570528360545E-15,0.0,2.1322570528360545E-15
15,2.1322570528360545E-15,0.0,2.1322570528360545E-15
16,2.1322570528360545E-15,0.0,2.1322570528360545E-15
17,2.1322570528360545E-15,0.0,2.1322570528360545E-15
18,2.1322570528360545E-15,0.0,2.1322570528360545E-15
19,2.1322570528360545E-15,0.0,2.1322570528360545E-15
20,2.1322570528360545E-15,0.0,2.1322570528360545E-15
21,2.1322570528360545E-15,0.0,2.1322570528360545E-15
22,2.1322570528360545E-15,0.0,2.1322570528360545E-15
23,2.1322570528360545E-15,0.0,2.1322570528360545E-15
24,2.1322570528360545E-15,0.0,2.1322570528360545E-15
25,2.1322570528360545E-15,0.0,2.1322570528360545E-15
26,2.1322570528360545E-15,0.0,2.1322570528360545E-15
27,2.1322570528360545E-15,0.0,2.1322570528360545E-15
28,2.1322570528360545E-15,0.0,2.1322570528360545E-15
29,2.1322570528360545E-15,0.0,2.1322570528360545E-15
30,2.1322570528360545E-15,0.0,2.1322570528360545E-15
31,2.1322570528360545E-15,0.0,2.1322570528360545E-15
32,2.1322570528360545E-15,0.0,2.1322570528360545E-15
33,2.1322570528360545E-15,0.0,2.1322570528360545E-15
34,2.1322570528360545E-15,0.0,2.1322570528360545E-15
35,2.1322570528360545E-15,0.0,2.1322570528360545E-15
36,2.1322570528360545E-15,0.0,2.1322570528360545E-15
37,2.1322570528360545E-15,0.0,2.1322570528360545E-15
38,2.1322570528360545E-15,0.0,2.1322570528360545E-15
39,2.1322570528360545E-15,0.0,2.1322570528360545E-15
