Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62
0,0,9,0,2,5,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,5,5,3,7,7,5,9,1,6,1,7,5,3,2,0,0,6,8,7,0,6,3,9,0,6,9,4,2,2,2,1,1,1,1,9,4,6,6,9,8,5,6,3,5
0,1,9,0,2,5,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,5,5,3,7,7,4,4,5,6,2,4,3,5,2,0,0,6,8,7,0,6,3,9,0,6,4,6,3,6,2,1,1,1,1,9,9,9,6,9,8,5,6,0,5
0,2,9,0,2,5,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,5,8,7,4,5,4,4,5,6,2,4,3,5,2,0,0,6,8,7,0,6,3,9,0,2,4,6,3,6,2,1,1,1,1,5,9,9,6,9,8,5,6,0,5
0,3,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,5,8,7,4,5,4,4,5,6,2,4,3,5,4,8,0,6,8,7,0,6,3,9,0,2,4,6,3,6,3,1,1,1,1,5,9,9,6,9,8,5,6,0,5
0,4,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,5,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,9,0,2,4,6,3,4,3,1,1,1,1,5,2,9,6,9,8,5,6,0,5
0,5,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,5,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,6,0,2,4,6,3,4,3,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,6,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,5,8,7,4,5,4,4,1,6,2,8,3,5,3,8,0,6,8,7,0,6,3,6,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,7,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,5,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,6,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,8,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,9,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,10,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,11,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,12,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,13,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,14,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,15,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,16,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,17,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,18,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,19,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,20,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,21,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,22,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,23,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,24,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,25,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,26,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,27,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,28,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,29,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,30,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,31,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,32,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,33,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,34,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,35,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
0,36,9,5,2,4,8,7,6,9,0,1,4,8,8,1,1,3,7,2,1,7,8,7,4,5,4,4,1,6,2,8,3,5,4,8,0,6,8,7,0,6,3,2,0,2,4,6,3,4,0,1,2,1,1,5,2,9,6,1,8,5,6,0,5
