Agent,Plan,LocalCost,ComplexCost
0,0,0.0000,5.2445
1,0,0.0000,5.2445
2,0,0.0000,5.2445
3,5,5.0000,5.2445
4,1,1.0000,5.2445
5,0,0.0000,5.2445
6,6,6.0000,5.2445
7,1,1.0000,5.2445
8,0,0.0000,5.2445
9,1,1.0000,5.2445
10,4,4.0000,5.2445
11,4,4.0000,5.2445
12,5,5.0000,5.2445
13,7,7.0000,5.2445
14,5,5.0000,5.2445
15,0,0.0000,5.2445
16,0,0.0000,5.2445
17,0,0.0000,5.2445
18,5,5.0000,5.2445
19,6,6.0000,5.2445
20,0,0.0000,5.2445
21,0,0.0000,5.2445
22,5,5.0000,5.2445
23,0,0.0000,5.2445
24,3,3.0000,5.2445
25,6,6.0000,5.2445
26,5,5.0000,5.2445
27,7,7.0000,5.2445
28,5,5.0000,5.2445
29,4,4.0000,5.2445
30,4,4.0000,5.2445
31,0,0.0000,5.2445
32,1,1.0000,5.2445
33,5,5.0000,5.2445
34,1,1.0000,5.2445
35,0,0.0000,5.2445
36,2,2.0000,5.2445
37,1,1.0000,5.2445
38,1,1.0000,5.2445
39,0,0.0000,5.2445
40,0,0.0000,5.2445
41,6,6.0000,5.2445
42,0,0.0000,5.2445
43,0,0.0000,5.2445
44,4,4.0000,5.2445
45,2,2.0000,5.2445
46,2,2.0000,5.2445
47,0,0.0000,5.2445
48,4,4.0000,5.2445
49,1,1.0000,5.2445
50,1,1.0000,5.2445
51,3,3.0000,5.2445
52,2,2.0000,4.9797
53,3,3.0000,5.2445
54,0,0.0000,5.2445
55,8,8.0000,5.2445
56,4,4.0000,5.2445
57,4,4.0000,5.2445
58,0,0.0000,4.9797
59,1,1.0000,5.2445
60,2,2.0000,5.2445
61,0,0.0000,4.9797
62,7,7.0000,4.9797
