Unfairness weight,Local cost weight,Global cost weight
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17
0.7,0.3,5.551115123125783E-17

