Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9
0,0,0.9705,0.9685,0.812,1.0366,1.2872,2.1052,2.69,2.8914,4.0164,7.919
0,1,7.7429,7.7345,7.919,7.4869,6.1384,7.4167,7.055,5.1402,6.8401,5.2124
0,2,5.2124,5.2124,5.2124,5.2124,5.9953,5.2124,5.2124,5.9953,5.2124,5.9953
0,3,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953
0,4,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953,5.9953
1,0,0.9324,0.9076,1.1022,0.9373,1.2872,1.718,2.9878,2.5491,4.9873,8.1851
1,1,7.121,7.1769,8.0327,8.1851,6.7095,7.121,6.2041,6.008,6.2041,4.8265
1,2,4.8265,4.8265,4.8265,4.8265,5.4517,4.8265,4.8265,5.1626,4.8265,5.1626
1,3,5.1626,5.1626,5.1626,5.1626,5.1626,5.1626,5.0526,5.1626,5.0526,5.0526
1,4,5.0526,5.0526,5.0526,4.6117,5.0526,5.0526,5.0526,4.6117,5.0526,4.6117
