Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
0,1,1.0,1.0,0.0,2.0,9.0,1.0,4.0,6.0,1.0,0.0
0,2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,0.0
0,3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,0.0
0,4,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,1,7.0,5.0,1.0,0.0,9.0,0.0,0.0,4.0,1.0,0.0
1,2,0.0,5.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0
1,3,0.0,5.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0
1,4,0.0,5.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0
